Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll,,,,,,,,,,,,
28.02.2013,4490000,,,,,,,,,0,100,0,,,,,,,,
01.03.2013,4518126.359,1776325.564,0.395878479,1776325.564,0.395878479,0,0,0,,-0.311599988,99.68840001,-0.003116,0,,,,,,,
04.03.2013,4512494.487,1768844.432,0.394869561,1768844.432,0.394869561,0,-0.003116,-0.003116,,0.757575103,100.7575751,0.010725171,-0.003120865,,,,,,,
05.03.2013,4531818.804,1788230.568,0.397477089,1788230.568,0.397477089,0,0.010725171,0.010725171,,1.021089076,101.0210891,0.002615327,0.010668064,,,,,,,
06.03.2013,4520784.132,1881543.803,0.419191665,1881543.803,0.419191665,0,0.002615327,0.002615327,,0.66559999,100.6656,-0.003518959,0.002611913,,,,,,,
07.03.2013,4513667.262,1874324.919,0.418256044,1874324.919,0.418256044,0,-0.003518959,-0.003518959,,1.465945276,101.4659453,0.007950534,-0.003525165,,,,,,,
08.03.2013,4540859.595,1891314.009,0.419522318,1891314.009,0.419522318,0,0.007950534,0.007950534,,1.839875438,101.8398754,0.003685277,0.007919095,,,,,,,
11.03.2013,4537532.406,2239527.462,0.497127756,2239527.462,0.497127756,0,0.003685277,0.003685277,,2.101528709,102.1015287,0.002569261,0.003678503,,,,,,,
12.03.2013,4543370.093,2245721.89,0.497818272,2245721.89,0.497818272,0,0.002569261,0.002569261,,2.929744868,102.9297449,0.008111692,0.002565967,,,,,,,
13.03.2013,4561764.156,2263728.387,0.499814798,2263728.387,0.499814798,0,0.008111692,0.008111692,,3.749796346,103.7497963,0.007967099,0.008078969,,,,,,,
14.03.2013,4587871.469,2281711.44,0.500932335,2281711.44,0.500932335,0,0.007967099,0.007967099,,3.072632841,103.0726328,-0.00652689,0.007935529,,,,,,,
15.03.2013,4576273.996,2271860.616,0.499850675,2271860.616,0.499850675,0,-0.00652689,-0.00652689,,3.191797355,103.1917974,0.001156122,-0.006548283,,,,,,,
18.03.2013,4578246.309,2274700.29,0.500162964,2274700.29,0.500162964,0,0.001156122,0.001156122,,3.217526458,103.2175265,0.000249333,0.001155454,,,,,,,
19.03.2013,4578821.028,2274798.272,0.500173732,2274798.272,0.500173732,0.00E+00,2.49E-04,0.000249333,,3.397598255,103.3975983,0.001744585,0.000249302,,,,,,,
20.03.2013,4582843.35,2278595.813,0.500590733,2278595.813,0.500590733,0,0.001744585,1.74E-03,,3.15112628,103.1511263,-0.00238373,0.001743065,,,,,,,
21.03.2013,4576695.762,2318757.616,0.51004352,2318757.616,0.51004352,0,-0.00238373,-0.00238373,,2.967616054,102.9676161,-0.001779042,-0.002386576,,,,,,,
22.03.2013,4574343.332,2316686.763,0.509820237,2316686.763,0.509820237,0,-0.001779042,-0.001779042,,3.189726926,103.1897269,0.002157094,-0.001780627,,,,,,,
25.03.2013,4579405.829,2320490.565,0.510230214,2320490.565,0.510230214,0.0119,0.002157094,0.002157094,,4.017491949,104.0174919,0.008021777,0.002154771,,,,,,,
26.03.2013,4597852.819,2336464.645,0.511944453,2336464.645,0.511944453,0,0.008021777,0.008021777,,4.406143037,104.406143,0.003736401,0.007989774,,,,,,,
27.03.2013,4901304.444,2432741.603,0.499925671,2432741.603,0.499925671,0,0.003736401,0.003736401,,4.374718374,104.3747184,-0.000300985,0.003729438,,,,,,,
28.03.2013,4900432.461,2432420.454,0.500081872,2432420.454,0.500081872,0,-0.000300985,-0.000300985,,4.51959329,104.5195933,0.001388027,-0.00030103,,,,,,,
29.03.2013,4903859.234,2435770.646,0.500425962,2435770.646,0.500425962,0,0.001388027,0.001388027,,4.037918327,104.0379183,-0.004608466,0.001387064,,,,,,,
01.04.2013,4891995.095,2423486.077,0.499161922,2423486.077,0.499161922,0.00592944,-0.004608466,-0.004608466,,4.777516056,104.7775161,0.007108925,-0.004619117,,,,,,,
02.04.2013,4909485.688,2440143.758,0.500874401,2440143.758,0.500874401,0,0.007108925,0.007108925,,4.206255055,104.2062551,-0.005452133,0.007083775,,,,,,,
03.04.2013,4895976.056,2426367.435,0.499458977,2426367.435,0.499458977,0,-0.005452133,-0.005452133,,4.226727478,104.2267275,0.000196461,-0.005467051,,,,,,,
04.04.2013,4895719.578,2426805.298,0.499504088,2426805.298,0.499504088,0,0.000196461,0.000196461,,2.002925292,102.0029253,-0.021336199,0.000196441,,,,,,,
05.04.2013,4856415.995,2552247.205,0.529520744,2552247.205,0.529520744,0,-0.021336199,-0.021336199,,2.5424589,102.5424589,0.005289393,-0.021567106,,,,,,,
08.04.2013,4897913.177,2700709.695,0.559870349,2700709.695,0.559870349,-0.011396011,0.005289393,0.005289393,,2.676103176,102.6761032,0.001303307,0.005275454,,,,,,,
09.04.2013,4903079.198,2885279.075,0.597718579,2885279.075,0.597718579,0,0.001303307,0.001303307,,3.754643577,103.7546436,0.010504298,0.001302458,,,,,,,
10.04.2013,4947239.489,2873717.441,0.589953499,2873717.441,0.589953499,0,0.010504298,0.010504298,,3.693843191,103.6938432,-0.000586002,0.010449511,,,,,,,
11.04.2013,4892236.121,2870905.987,0.596103873,2870905.987,0.596103873,0,-0.000586002,-0.000586002,,2.870389625,102.8703896,-0.0079412,-0.000586173,,,,,,,
