Dates,D,DEQ,Bench,Q$,Q€,US1m,XE1m,EU1m,EUR,SPX,SXPT,BE500,BE500T
31.03.1997,100,142.33,510.5383,100,100,5.6875,4.25,3.25,1.1708,757.12,1000,135.45,135.45
01.04.1997,100,142.33,510.5383,100,100,5.6875,4.25,3.25,1.1708,759.64,1003.33,131.69,131.69
02.04.1997,100,142.33,504.6294,100,100,5.6875,4.23047,3.25,1.1708,750.11,990.93,131.03,131.03
03.04.1997,100,142.33,504.9726,100,100,5.6875,4.21875,3.25,1.1726,750.32,991.21,130.12,130.12
04.04.1997,100,142.33,507.9049,100,100,5.6875,4.21484,3.25,1.1677,757.9,1001.25,130.81,130.81
07.04.1997,100,142.33,503.2212,100,100,5.6875,4.1875,3.25,1.1457,762.13,1006.85,133.27,133.27
08.04.1997,100,142.33,505.2737,100,100,5.6875,4.1875,3.25,1.145,766.12,1012.41,133.34,133.34
09.04.1997,100,142.33,500.5878,100,100,5.6875,4.16797,3.25,1.1392,760.6,1005.18,134.7,134.7
10.04.1997,100,142.33,499.998,100,100,5.6875,4.16406,3.25,1.141,758.34,1002.22,134.73,134.73
11.04.1997,100,142.33,486.4209,100,100,5.6875,4.15625,3.25,1.1371,737.65,974.94,134.06,134.06
14.04.1997,100,142.33,489.683,100,100,5.6875,4.15625,3.25,1.1378,743.73,982.98,133.15,133.15
15.04.1997,100,142.33,494.4487,100,100,5.6875,4.16016,3.25,1.1308,754.72,997.5,135.46,135.46
16.04.1997,100,142.33,500.5115,100,100,5.6875,4.13672,3.25,1.134,763.53,1009.22,135.18,135.18
17.04.1997,100,142.33,500.3511,100,100,5.6875,4.12891,3.25,1.1357,761.77,1006.93,135.56,135.56
18.04.1997,100,142.33,504.862,100,100,5.6875,4.14844,3.25,1.141,766.34,1012.97,135.33,135.33
21.04.1997,100,142.33,504.3175,100,100,5.6875,4.15625,3.25,1.1485,760.37,1005.08,135.35,135.35
22.04.1997,100,142.33,510.411,100,100,5.6875,4.16016,3.25,1.1425,774.61,1023.9,135.83,135.83
23.04.1997,100,142.33,509.9624,100,100,5.6875,4.16797,3.25,1.1417,773.64,1022.67,136.66,136.66
24.04.1997,100,142.33,507.8591,100,100,5.6875,4.15625,3.25,1.1392,771.18,1019.43,137.19,137.19
25.04.1997,100,142.33,502.2198,100,100,5.6875,4.15625,3.25,1.134,765.37,1011.75,136.51,136.51
28.04.1997,100,142.33,505.9836,100,100,5.6875,4.15625,3.25,1.1325,772.96,1021.92,136.59,136.59
29.04.1997,100,142.33,519.699,100,100,5.6875,4.15625,3.25,1.1348,794.05,1049.85,138.31,138.31
30.04.1997,100,142.33,522.3173,100,100,5.6875,4.15234,3.25,1.1303,801.34,1059.7,138.88,138.88
01.05.1997,100,142.33,523.8936,100,100,5.6875,4.15625,3.25,1.1379,798.53,1056.13,139.14,139.14
02.05.1997,100,142.33,530.0304,100,100,5.6875,4.15625,3.25,1.1319,812.97,1075.23,139.86,139.86
05.05.1997,100,142.33,540.4793,100,100,5.6875,4.15625,3.25,1.1319,830.24,1098.14,141.21,141.21
06.05.1997,100,142.33,540.8616,100,100,5.6875,4.13281,3.25,1.1352,827.76,1094.95,142.05,142.05
07.05.1997,100,142.33,534.827,100,100,5.6875,4.14453,3.25,1.1379,815.62,1079.05,141.56,141.56
08.05.1997,100,142.33,540.6019,100,100,5.6875,4.15234,3.25,1.1453,820.26,1085.21,141.76,141.76
09.05.1997,100,142.33,547.3005,100,100,5.6875,4.14844,3.25,1.1546,824.78,1091.49,142.31,142.31
12.05.1997,100,142.33,553.6445,100,100,5.6875,4.14844,3.25,1.15,837.66,1108.58,143.98,143.98
13.05.1997,100,142.33,552.4028,100,100,5.6875,4.13281,3.25,1.1529,833.13,1102.78,144.29,144.29
14.05.1997,100,142.33,554.1186,100,100,5.6875,4.125,3.25,1.1517,836.04,1106.79,145.37,145.37
15.05.1997,100,142.33,557.7704,100,100,5.6875,4.125,3.25,1.1526,841.88,1114.86,145.19,145.19
16.05.1997,100,142.33,552.136,100,100,5.6875,4.125,3.25,1.1557,829.75,1099,145.33,145.33
19.05.1997,100,142.33,550.982,100,100,5.71094,4.125,3.25,1.148,833.27,1103.68,145.37,145.37
20.05.1997,100,142.33,558.2141,100,100,5.75,4.125,3.25,1.1555,841.66,1114.88,143.89,143.89
21.05.1997,100,142.33,557.9445,100,100,5.6875,4.125,3.25,1.1555,839.35,1111.94,146.02,146.02
22.05.1997,100,142.33,555.7154,100,100,5.6875,4.125,3.25,1.1565,835.66,1107.08,144.99,144.99
23.05.1997,100,142.33,563.3827,100,100,5.6875,4.125,3.25,1.1581,847.03,1122.16,145.82,145.82
26.05.1997,100,142.33,563.5227,100,100,5.6875,4.125,3.25,1.1581,847.03,1122.16,146.1,146.1
27.05.1997,100,142.33,561.9132,100,100,5.6875,4.14844,3.25,1.1502,849.71,1125.72,146.49,146.49
28.05.1997,100,142.33,560.5362,100,100,5.6875,4.13672,3.25,1.1515,847.21,1122.6,145.51,145.51
29.05.1997,100,142.33,558.8173,100,100,5.69141,4.15625,3.25,1.1521,844.08,1118.62,145.17,145.17
30.05.1997,100,142.33,558.1765,100,100,5.6875,4.15625,3.25,1.1465,848.28,1124.22,143.8,143.8
02.06.1997,100,142.33,552.3708,100,100,5.6875,4.16406,3.25,1.1342,846.36,1121.69,144.8,144.8
03.06.1997,100,142.33,552.104,100,100,5.6875,4.15625,3.25,1.1343,845.48,1120.54,145.18,145.18
04.06.1997,100,142.33,548.6033,100,100,5.6875,4.15625,3.25,1.1328,840.11,1113.68,145.53,145.53
05.06.1997,100,142.33,550.8344,100,100,5.6875,4.15625,3.25,1.1326,843.43,1118.23,146.4,146.4
06.06.1997,100,142.33,559.355,100,100,5.6875,4.15625,3.25,1.1317,858.01,1137.62,147.7,147.7
09.06.1997,100,142.33,567.6934,100,100,5.6875,4.15625,3.25,1.1446,862.91,1144.15,147.7,147.7
10.06.1997,100,142.33,567.0097,100,100,5.6875,4.16797,3.25,1.1388,865.27,1147.3,148.65,148.65
11.06.1997,100,142.33,570.3762,100,100,5.6875,4.16016,3.25,1.1409,869.57,1153.21,148.66,148.66
12.06.1997,100,142.33,577.0208,100,100,5.6875,4.16406,3.25,1.1361,883.48,1171.9,150.32,150.32
13.06.1997,100,142.33,579.2173,100,100,5.6875,4.13672,3.25,1.1271,893.27,1184.9,151.63,151.63
16.06.1997,100,142.33,581.7547,100,100,5.6875,4.14063,3.25,1.1329,893.9,1185.78,150.81,150.81
17.06.1997,100,142.33,580.3453,100,100,5.6875,4.12891,3.25,1.1307,894.42,1186.47,149.37,149.37
18.06.1997,100,142.33,579.3216,100,100,5.6875,4.125,3.25,1.135,889.06,1179.41,149.56,149.56
19.06.1997,100,142.33,585.3132,100,100,5.6875,4.13281,3.25,1.1361,897.99,1191.29,150.42,150.42
20.06.1997,100,142.33,583.7645,100,100,5.6875,4.12891,3.25,1.1316,898.7,1192.24,150.56,150.56
23.06.1997,100,142.33,575.0908,100,100,5.6875,4.13281,3.25,1.1379,878.62,1165.62,150.4,150.4
24.06.1997,100,142.33,585.0795,100,100,5.6875,4.14453,3.25,1.1369,896.34,1189.13,151.11,151.11
25.06.1997,100,142.33,582.157,100,100,5.6875,4.15625,3.25,1.1377,888.99,1179.42,152.91,152.91
26.06.1997,100,142.33,577.7374,100,100,5.6875,4.14844,3.25,1.1339,883.68,1172.63,153.47,153.47
27.06.1997,100,142.33,577.5365,100,100,5.6875,4.13672,3.25,1.1289,887.3,1177.45,153.4,153.4
30.06.1997,100,142.33,574.1625,100,100,5.6875,4.15234,3.25,1.1255,885.14,1174.59,152.1,152.1
01.07.1997,100,142.33,579.7223,100,100,5.6875,4.15234,3.25,1.1277,891.03,1182.57,154.63,154.63
02.07.1997,100,142.33,584.523,100,100,5.6875,4.13672,3.25,1.1206,904.03,1199.98,155.99,155.99
03.07.1997,100,142.33,593.743,100,100,5.6875,4.15625,3.25,1.1221,916.92,1217.11,158.61,158.61
04.07.1997,100,142.33,592.095,100,100,5.67969,4.15625,3.25,1.1182,916.92,1217.11,158.89,158.89
07.07.1997,100,142.33,592.7876,100,100,5.6875,4.15625,3.25,1.1242,912.2,1210.86,160.08,160.08
08.07.1997,100,142.33,592.6303,100,100,5.6875,4.15625,3.25,1.1163,918.75,1219.82,159.66,159.66
09.07.1997,100,142.33,585.411,100,100,5.6875,4.15625,3.25,1.113,907.54,1205,160.73,160.73
