Date,NAV,Futures,Securities,FxPnL,PayableFees,AccruedFees,AUD Curncy,BRL Curncy,CHF Curncy,CNH Curncy,CNY Curncy,EUR Curncy,GBP Curncy,MXN Curncy,NOK Curncy,USD Curncy,ZAR Curncy,PaidFees,.TAX_EUR LX Equity,TotalFees,Cash
2015-06-18,49645918.34,0,39743110.34,0,-7.22,-1791.41,0,0,0,2688691.23,0,9251131.62,0,0,0,311849.48,0,0,0,-1798.63,9902808
2015-06-19,50013527.33,0,39998254.8,105169.48,1985.56,-3593.95,0,0,0,2688691.23,0,9249131.62,0,0,0,317474.48,0,0,0,-1608.39,9910103.05000001
2015-06-22,49962610.83,0,39819572.08,234169.69,1963.88,-8974.1,0,0,0,2688691.23,0,9249131.62,0,0,0,326411.98,0,0,0,-7010.22,9908869.06000001
2015-06-25,50265116.19,0,41276349.77,-164285.93,1942.2,-14385.14,0,0,0,2688691.23,0,9249131.62,0,0,0,-526935.73,0,0,0,-12442.94,9153052.34999999
2015-06-26,50289413.67,0,42245386.54,-273346.74,1934.98,-16191.2,0,0,0,682891.23,0,7988180.58,0,0,0,272632.88,0,0,0,-14256.22,8317373.87
2015-06-29,50203279.39,0,42143073.25,-251514.55,54445.52,-21514.11,0,0,0,682891.23,0,7935648.36,0,0,0,272632.88,0,0,0,32931.41,8311720.69
2015-06-30,50209686.19,0,42168573.19,-270308.89,54438.3,-22127.03,0,0,0,682891.23,0,7935648.36,0,0,0,272632.88,0,0,0,32311.27,8311421.89
2015-07-01,50418416.1,0,42327182.94,-354684.41,33138.11,-2584.64,0,0,0,682891.23,0,8070648.1,0,0,0,272632.88,0,0,0,30553.47,8445917.57
2015-07-02,50440878.62,0,42347265.31,-350483.62,33130.89,-4335.57,0,0,0,682891.23,0,8070648.1,0,0,0,272632.88,0,0,0,28795.32,8444096.92999999
2015-07-03,50468188.87,0,42383374.51,-357604.67,33123.67,-6087.53,0,0,0,682891.23,0,8070648.1,0,0,0,272632.88,0,0,0,27036.14,8442419.03000001
2015-07-06,50482440.62,0,42457776.7,-413191.95,33101.99,-11343.23,0,0,0,682891.23,0,8070648.1,0,0,0,272632.88,0,0,0,21758.76,8437855.87
2015-07-07,50609600.66,-2324996.57,42877383.22,-710042.83,33094.77,-13102.49,0,0,0,682891.23,0,7887799.32,0,0,0,474789.38,0,0,0,19992.28,8442260.27
2015-07-08,50373348.4,0,42611792.32,-426545.01,37243.04,-14846.49,0,0,0,682891.23,0,7883646.99,0,0,0,202282.69,0,0,0,22396.55,8188101.09
2015-07-09,50400442.48,0,42682781.59,-469195.79,37235.97,-16596.61,0,0,0,682891.23,0,7883646.99,0,0,0,202282.69,0,0,0,20639.36,8186856.68
2015-07-10,50284190.82,0,42297776.16,-195527.89,37228.9,-18340.5,0,0,0,682891.23,0,7883646.99,0,0,0,202313.69,0,0,0,18888.4,8181942.55
2015-07-13,50481929.6,0,42848048.81,-546871.55,37207.68,-23597.41,0,0,0,682891.23,0,7883646.99,0,0,0,202313.69,0,0,0,13610.27,8180752.33999999
2015-07-15,50608811.8,0,43462015.91,-667510.51,37193.53,-27107.87,0,0,0,682891.23,0,7611068.4,0,0,0,101742.77,0,0,0,10085.66,7814306.39999999
2015-07-16,50704297.68,0,43672153.55,-786856.02,37186.46,-28871.26,0,0,0,682891.23,0,7611068.4,0,0,0,107742.77,0,0,0,8315.19999999999,7819000.15
2015-07-17,50785807.92,0,43868066.44,-900534.2,38292.95,-30637.15,0,0,0,682891.23,0,7610076.48,0,0,0,107742.77,0,0,0,7655.8,7818275.68
2015-07-20,50745348.71,0,43801321.28,-878821.08,38271.73,-35904.03,0,0,0,682891.23,0,7610076.48,0,0,0,118687.27,0,0,0,2367.7,7822848.51
2015-07-21,50629076.88,0,43530307.53,-721071.71,38264.66,-37658.04,0,0,0,682891.23,0,7610076.48,0,0,0,118687.27,0,0,0,606.619999999995,7819841.06
2015-07-22,50613546.59,0,43601980.98,-816029.72,38257.59,-39414.04,0,0,0,682891.23,0,7608755.18,0,0,0,129687.27,0,0,0,-1156.45,7827595.33
2015-07-23,50432415.63,0,43239368.72,-621187.93,38250.52,-41157.32,0,0,0,734959.72,0,7591284.22,0,0,0,129687.27,0,0,0,-2906.8,7814234.84
2015-07-24,50313264.61,0,43151251.08,-650499.42,38243.45,-42897.44,0,0,0,734959.72,0,7591280.68,0,0,0,129687.27,0,0,0,-4653.99000000001,7812512.95
