Date,Q
31.03.1997,0
01.04.1997,-0.00094834
02.04.1997,-0.001431237
03.04.1997,-0.010577409
04.04.1997,-0.003669226
07.04.1997,-0.004517672
08.04.1997,0.002168043
09.04.1997,0.005186665
10.04.1997,0.007976898
11.04.1997,-0.007528857
14.04.1997,-0.001282223
15.04.1997,0.006026634
16.04.1997,-0.003053981
17.04.1997,0.003104279
18.04.1997,0.003330281
21.04.1997,-0.005296368
22.04.1997,0.004618278
23.04.1997,0.004532365
24.04.1997,0.006404769
25.04.1997,-0.002296612
28.04.1997,0.002530861
29.04.1997,-0.012999572
30.04.1997,0.00124376
01.05.1997,0.00351616
02.05.1997,-0.001027969
05.05.1997,-0.003274649
06.05.1997,0.005877974
07.05.1997,0.002774546
08.05.1997,-0.002583867
09.05.1997,-0.010672051
12.05.1997,0.000690549
13.05.1997,-0.004196
14.05.1997,0.003136177
15.05.1997,0.007027838
16.05.1997,0.007113504
19.05.1997,0.003670021
20.05.1997,-0.00211651
21.05.1997,0.003266038
22.05.1997,0.000563309
23.05.1997,-0.003034235
26.05.1997,-0.000472213
27.05.1997,0.004512881
28.05.1997,0.004379814
29.05.1997,0.014107784
30.05.1997,-0.006356857
02.06.1997,-0.013081968
03.06.1997,0.002182284
04.06.1997,-0.001503922
05.06.1997,-0.006239689
06.06.1997,0.002442527
09.06.1997,0.002660076
10.06.1997,0.003775532
11.06.1997,0.005390206
12.06.1997,0.011784765
13.06.1997,0.007617803
16.06.1997,0.002239432
17.06.1997,-0.003892691
18.06.1997,0.008811518
19.06.1997,0.001901498
20.06.1997,-0.004086887
23.06.1997,0.005155805
24.06.1997,-0.002121268
25.06.1997,-0.000626097
26.06.1997,0.002414418
27.06.1997,0.009151527
30.06.1997,0.003755782
01.07.1997,0.001236781
02.07.1997,0.003809371
03.07.1997,0.004623981
04.07.1997,0.006579254
07.07.1997,0.009780331
08.07.1997,-0.006123106
09.07.1997,-0.002840274
10.07.1997,0.001617292
11.07.1997,-0.003105168
14.07.1997,-0.002660563
15.07.1997,-0.002206918
16.07.1997,0.002771581
17.07.1997,-0.004644569
18.07.1997,-0.010681055
21.07.1997,0.007123683
22.07.1997,-0.004099922
23.07.1997,-0.001357603
24.07.1997,0.00648561
