Date,USD,EUR
31.03.1997,5.6875,4.23438
01.04.1997,5.6875,4.25
02.04.1997,5.6875,4.23047
03.04.1997,5.6875,4.21875
04.04.1997,5.6875,4.21484
07.04.1997,5.6875,4.1875
08.04.1997,5.6875,4.1875
09.04.1997,5.6875,4.16797
10.04.1997,5.6875,4.16406
11.04.1997,5.6875,4.15625
14.04.1997,5.6875,4.15625
15.04.1997,5.6875,4.16016
16.04.1997,5.6875,4.13672
17.04.1997,5.6875,4.12891
18.04.1997,5.6875,4.14844
21.04.1997,5.6875,4.15625
22.04.1997,5.6875,4.16016
23.04.1997,5.6875,4.16797
24.04.1997,5.6875,4.15625
25.04.1997,5.6875,4.15625
28.04.1997,5.6875,4.15625
29.04.1997,5.6875,4.15625
30.04.1997,5.6875,4.15234
01.05.1997,5.6875,4.15625
02.05.1997,5.6875,4.15625
05.05.1997,5.6875,4.15625
06.05.1997,5.6875,4.13281
07.05.1997,5.6875,4.14453
08.05.1997,5.6875,4.15234
09.05.1997,5.6875,4.14844
12.05.1997,5.6875,4.14844
13.05.1997,5.6875,4.13281
14.05.1997,5.6875,4.125
15.05.1997,5.6875,4.125
16.05.1997,5.6875,4.125
19.05.1997,5.71094,4.125
20.05.1997,5.75,4.125
21.05.1997,5.6875,4.125
22.05.1997,5.6875,4.125
23.05.1997,5.6875,4.125
26.05.1997,5.6875,4.125
27.05.1997,5.6875,4.14844
28.05.1997,5.6875,4.13672
29.05.1997,5.69141,4.15625
30.05.1997,5.6875,4.15625
02.06.1997,5.6875,4.16406
03.06.1997,5.6875,4.15625
04.06.1997,5.6875,4.15625
05.06.1997,5.6875,4.15625
06.06.1997,5.6875,4.15625
09.06.1997,5.6875,4.15625
10.06.1997,5.6875,4.16797
11.06.1997,5.6875,4.16016
12.06.1997,5.6875,4.16406
13.06.1997,5.6875,4.13672
16.06.1997,5.6875,4.14063
17.06.1997,5.6875,4.12891
18.06.1997,5.6875,4.125
19.06.1997,5.6875,4.13281
20.06.1997,5.6875,4.12891
23.06.1997,5.6875,4.13281
24.06.1997,5.6875,4.14453
25.06.1997,5.6875,4.15625
26.06.1997,5.6875,4.14844
27.06.1997,5.6875,4.13672
30.06.1997,5.6875,4.15234
01.07.1997,5.6875,4.15234
02.07.1997,5.6875,4.13672
03.07.1997,5.6875,4.15625
04.07.1997,5.67969,4.15625
07.07.1997,5.6875,4.15625
08.07.1997,5.6875,4.15625
09.07.1997,5.6875,4.15625
10.07.1997,5.6875,4.17188
11.07.1997,5.67969,4.1875
14.07.1997,5.66797,4.1875
15.07.1997,5.67578,4.21094
16.07.1997,5.67578,4.21875
17.07.1997,5.66406,4.23047
18.07.1997,5.67188,4.25
21.07.1997,5.67188,4.25
22.07.1997,5.67188,4.25
23.07.1997,5.64844,4.25
24.07.1997,5.64844,4.25
25.07.1997,5.64844,4.27344
28.07.1997,5.64453,4.30469
29.07.1997,5.625,4.3125
30.07.1997,5.625,4.3125
31.07.1997,5.625,4.3125
01.08.1997,5.625,4.3125
04.08.1997,5.62891,4.34375
05.08.1997,5.62891,4.36719
06.08.1997,5.63281,4.375
07.08.1997,5.63672,4.34766
08.08.1997,5.63281,4.34375
11.08.1997,5.63281,4.3125
12.08.1997,5.64453,4.3125
13.08.1997,5.65234,4.3125
14.08.1997,5.64453,4.3125
15.08.1997,5.64453,4.3125
18.08.1997,5.63281,4.3125
19.08.1997,5.625,4.30469
20.08.1997,5.62891,4.3125
21.08.1997,5.625,4.28906
22.08.1997,5.625,4.3125
25.08.1997,5.625,4.3125
26.08.1997,5.625,4.3125
27.08.1997,5.63281,4.3125
28.08.1997,5.65625,4.3125
29.08.1997,5.65625,4.3125
01.09.1997,5.65625,4.3125
02.09.1997,5.65625,4.28906
03.09.1997,5.65625,4.28516
04.09.1997,5.65625,4.29297
05.09.1997,5.65625,4.28125
08.09.1997,5.65625,4.28125
09.09.1997,5.65625,4.28125
