Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
28.02.2013,4490000,,,,,,,
01.03.2013,4487047.564,1776325.564,0.395878479,1776325.564,0.395878479,-0.001585611,,
04.03.2013,4479566.432,1768844.432,0.394869561,1768844.432,0.394869561,-0.001667278,-0.00421159,-0.00421159
05.03.2013,4498952.568,1788230.568,0.397477089,1788230.568,0.397477089,0.004327698,0.010959817,0.010959817
06.03.2013,4488504.803,1881543.803,0.419191665,1881543.803,0.419191665,0.001189088,0.002991589,0.002991589
07.03.2013,4481285.919,1874324.919,0.418256044,1874324.919,0.418256044,-0.001523156,-0.003633555,-0.003633555
08.03.2013,4508256.009,1891314.009,0.419522318,1891314.009,0.419522318,0.003333205,0.007969293,0.007969293
11.03.2013,4504933.462,2239527.462,0.497127756,2239527.462,0.497127756,0.001573749,0.003751287,0.003751287
12.03.2013,4511127.89,2245721.89,0.497818272,2245721.89,0.497818272,0.00137503,0.002765948,0.002765948
13.03.2013,4529134.387,2263728.387,0.499814798,2263728.387,0.499814798,0.004010205,0.00805556,0.00805556
14.03.2013,4554929.44,2281711.44,0.500932335,2281711.44,0.500932335,0.003970542,0.007944026,0.007944026
15.03.2013,4545078.616,2271860.616,0.499850675,2271860.616,0.499850675,-0.002933274,-0.005855628,-0.005855628
18.03.2013,4547918.29,2274700.29,0.500162964,2274700.29,0.500162964,0.000776648,0.00155376,0.00155376
19.03.2013,4548016.272,2274798.272,0.500173732,2274798.272,0.500173732,2.16E-05,4.31E-05,4.31E-05
20.03.2013,4551813.813,2278595.813,0.500590733,2278595.813,0.500590733,0.000834996,0.001669412,0.001669412
21.03.2013,4546195.616,2318757.616,0.51004352,2318757.616,0.51004352,-0.001093241,-0.002183901,-0.002183901
22.03.2013,4544124.763,2316686.763,0.509820237,2316686.763,0.509820237,-0.000857378,-0.00168099,-0.00168099
25.03.2013,4547928.565,2320490.565,0.510230214,2320490.565,0.510230214,0.000837072,0.001641896,0.001641896
