Date, DEQ , Bench ,
28-Feb-13,0,0,
01-Mar-13,0,0.00429518,
04-Mar-13,0,0.00177219,
05-Mar-13,0,0.01236742,
06-Mar-13,0,0.00041248,
07-Mar-13,0,-0.00228246,
08-Mar-13,0,0.00993006,
11-Mar-13,0,0.00013135,
12-Mar-13,0,-0.00141277,
13-Mar-13,0,0.00363324,
14-Mar-13,0,0.00719029,
15-Mar-13,0,-0.00563307,
18-Mar-13,0,-0.00000198,
19-Mar-13,0,-0.00061738,
20-Mar-13,0,0.00309739,
21-Mar-13,0,-0.00646135,
22-Mar-13,0.01190002,0.00081298,
25-Mar-13,0,0.00136562,
26-Mar-13,0,0.00514897,
27-Mar-13,0,0.00102059,
28-Mar-13,0,0.0011784,
29-Mar-13,0.00592942,0.00105345,
1-Apr-13,0,-0.00268929,
2-Apr-13,0,0.00879178,
3-Apr-13,0,-0.00974805,
4-Apr-13,0,-0.00323128,
5-Apr-13,-0.01139605,-0.01624093,
8-Apr-13,0,0.00455255,
9-Apr-13,0,0.00104832,
10-Apr-13,0,0.01476496,
11-Apr-13,0,0.00304367,
12-Apr-13,0.00357747,-0.00449424,
15-Apr-13,0,-0.01354128,
16-Apr-13,0,0.00155407,
17-Apr-13,0,-0.01197584,
18-Apr-13,0,-0.00440212,
19-Apr-13,-0.01673428,0.00716329,
22-Apr-13,0,0.00503933,
23-Apr-13,0,0.01783489,
24-Apr-13,0,0.00516008,
25-Apr-13,0.02950655,0.00620504,
26-Apr-13,0,-0.00317998,
29-Apr-13,0,0.00372071,
30-Apr-13,0,-0.00295418,
1-May-13,0,-0.00385752,
2-May-13,0,0.01082053,
3-May-13,0.01750947,0.00841983,
6-May-13,0,0.00369057,
7-May-13,0,0.00344883,
8-May-13,0,0.00251264,
9-May-13,0,0.00215641,
10-May-13,0.00490292,0.008329,
13-May-13,0,-0.00128006,
14-May-13,0,0.00810985,
15-May-13,0,0.01135903,
16-May-13,0,-0.00446052,
17-May-13,0.01760264,0.00981715,
20-May-13,0,0.00074221,
21-May-13,0,0.00024819,
22-May-13,0,-0.00238501,
23-May-13,0,-0.01275742,
24-May-13,-0.00874307,-0.00253887,
27-May-13,0,0.00142371,
28-May-13,0,0.01287703,
29-May-13,0,-0.01635705,
30-May-13,0,0.00018532,
31-May-13,-0.00777693,-0.00889741,
3-Jun-13,0,-0.00268448,
4-Jun-13,0,-0.00230942,
5-Jun-13,0,-0.01512365,
6-Jun-13,0,-0.00546401,
7-Jun-13,-0.00688206,0.01195763,
10-Jun-13,0,0.00049733,
11-Jun-13,0,-0.0140786,
12-Jun-13,0,-0.00764694,
13-Jun-13,0,0.00864869,
14-Jun-13,-0.0116458,-0.00333211,
17-Jun-13,0,0.00722544,
18-Jun-13,0,0.00179313,
19-Jun-13,0,-0.00826577,
20-Jun-13,0,-0.01981115,
21-Jun-13,-0.01645732,-0.0019636,
24-Jun-13,0,-0.01303695,
25-Jun-13,0,0.01322313,
26-Jun-13,0,0.01631857,
27-Jun-13,0,0.00665935,
28-Jun-13,0.00801978,-0.00589827,
