Date,DEQ,Bench
2.28.13,0,0
03.01.2013,0,0.004295182
03.04.2013,0,0.001772189
03.05.2013,0,0.012367424
03.06.2013,0,0.000412479
03.07.2013,0,-0.002282461
03.08.2013,0,0.009930055
03.11.2013,0,0.000131354
03.12.2013,0,-0.001412772
3.13.13,0,0.003633239
3.14.13,0,0.007190288
3.15.13,0,-0.005633074
3.18.13,0,-1.98E-06
3.19.13,0,-0.000617381
3.20.13,0,0.003097395
3.21.13,0,-0.006461351
3.22.13,0.011900024,0.00081298
3.25.13,0,0.001365619
3.26.13,0,0.005148974
3.27.13,0,0.001020587
3.28.13,0,0.0011784
3.29.13,0.005929424,0.001053453
04.01.2013,0,-0.002689292
04.02.2013,0,0.008791782
04.03.2013,0,-0.009748046
04.04.2013,0,-0.003231284
04.05.2013,-0.011396047,-0.016240928
04.08.2013,0,0.004552549
04.09.2013,0,0.001048317
04.10.2013,0,0.014764965
04.11.2013,0,0.003043669
04.12.2013,0.003577468,-0.004494244
4.15.13,0,-0.013541282
4.16.13,0,0.001554068
4.17.13,0,-0.011975842
4.18.13,0,-0.004402115
4.19.13,-0.016734279,0.007163288
4.22.13,0,0.005039327
4.23.13,0,0.017834891
4.24.13,0,0.00516008
4.25.13,0.029506548,0.006205038
4.26.13,0,-0.00317998
4.29.13,0,0.003720708
4.30.13,0,-0.00295418
05.01.2013,0,-0.003857516
05.02.2013,0,0.010820535
05.03.2013,0.017509471,0.008419829
05.06.2013,0,0.003690571
05.07.2013,0,0.003448833
05.08.2013,0,0.002512642
05.09.2013,0,0.002156411
05.10.2013,0.004902924,0.008328999
5.13.13,0,-0.001280058
5.14.13,0,0.008109851
5.15.13,0,0.011359032
5.16.13,0,-0.004460519
5.17.13,0.01760264,0.009817154
5.20.13,0,0.00074221
5.21.13,0,0.00024819
5.22.13,0,-0.002385007
5.23.13,0,-0.012757415
5.24.13,-0.008743069,-0.002538868
5.27.13,0,0.001423708
5.28.13,0,0.012877026
5.29.13,0,-0.016357049
5.30.13,0,0.000185317
5.31.13,-0.007776932,-0.008897415
06.03.2013,0,-0.00268448
06.04.2013,0,-0.002309421
06.05.2013,0,-0.01512365
06.06.2013,0,-0.005464014
06.07.2013,-0.006882061,0.01195763
06.10.2013,0,0.000497333
06.11.2013,0,-0.014078599
06.12.2013,0,-0.007646941
6.13.13,0,0.008648695
6.14.13,-0.011645804,-0.003332113
6.17.13,0,0.007225442
6.18.13,0,0.001793134
6.19.13,0,-0.00826577
6.20.13,0,-0.019811145
6.21.13,-0.016457322,-0.001963596
6.24.13,0,-0.013036949
6.25.13,0,0.013223132
6.26.13,0,0.016318573
6.27.13,0,0.006659353
6.28.13,0.008019778,-0.005898268
07.01.2013,0,0.008300207
07.02.2013,0,-0.002710692
07.03.2013,0,-0.000593222
07.04.2013,0,0.014416009
07.05.2013,0.012277773,0.002492448
07.08.2013,0,0.008130932
07.09.2013,0,0.010614774
07.10.2013,0,-0.002209887
07.11.2013,0,0.002792854
07.12.2013,0.015524997,-0.001049939
7.15.13,0,0.004410196
7.16.13,0,-0.00907545
7.17.13,0,0.006287719
7.18.13,0,0.007474367
7.19.13,0.005732834,-0.000780105
7.22.13,0,-0.000633331
7.23.13,0,-0.003268686
7.24.13,0,0.000700857
7.25.13,0,-0.001016342
7.26.13,-0.007600257,-0.002068562
7.29.13,0,-0.001250773
7.30.13,0,0.000701706
7.31.13,0,-5.17E-05
08.01.2013,0,0.013286262
08.02.2013,0.003733481,0.000755248
08.05.2013,0,0.001820556
08.06.2013,0,-0.007790656
08.07.2013,0,-0.002852718
08.08.2013,0,0.001593774
08.09.2013,-0.001525952,0.002615969
08.12.2013,0,0.001659922
8.13.13,0,0.006934262
8.14.13,0,-0.002079133
8.15.13,0,-0.011896021
8.16.13,-0.003152181,-0.002407219
