Date,DEQ,DEQ_Inv,Bench,SPX,SPXT,BE500,BE500T
31.03.1997,0,0,0,0,0,0,0
01.04.1997,0,0,0,0.003323,0.003325,-0.02815,-0.02815
02.04.1997,0,0,0,-0.01262,-0.01244,-0.00502,-0.00502
03.04.1997,0,0,0,0.00028,0.000288,-0.00697,-0.00697
04.04.1997,0,0,0,0.010052,0.010075,0.005289,0.005289
07.04.1997,0,0,0,0.005566,0.005576,0.018631,0.018631
08.04.1997,0,0,0,0.005222,0.005512,0.000525,0.000525
09.04.1997,0,0,0,-0.00723,-0.00717,0.010148,0.010148
10.04.1997,0,0,0,-0.00298,-0.00295,0.000223,0.000223
11.04.1997,0,0,0,-0.02766,-0.02759,-0.00499,-0.00499
14.04.1997,0,0,0,0.008209,0.00821,-0.00681,-0.00681
15.04.1997,0,0,0,0.014669,0.014669,0.0172,0.0172
16.04.1997,0,0,0,0.011606,0.011675,-0.00207,-0.00207
17.04.1997,0,0,0,-0.00231,-0.00227,0.002807,0.002807
18.04.1997,0,0,0,0.005981,0.005981,-0.0017,-0.0017
21.04.1997,0,0,0,-0.00782,-0.00782,0.000148,0.000148
22.04.1997,0,0,0,0.018555,0.018555,0.00354,0.00354
23.04.1997,0,0,0,-0.00125,-0.00122,0.006092,0.006092
24.04.1997,0,0,0,-0.00318,-0.00317,0.003871,0.003871
25.04.1997,0,0,0,-0.00756,-0.00756,-0.00497,-0.00497
28.04.1997,0,0,0,0.009868,0.009954,0.000586,0.000586
29.04.1997,0,0,0,0.026919,0.026963,0.012514,0.012514
30.04.1997,0,0,0,0.009139,0.00933,0.004113,0.004113
01.05.1997,0,0,0,-0.00351,-0.00337,0.00187,0.00187
02.05.1997,0,0,0,0.017922,0.017924,0.005161,0.005161
05.05.1997,0,0,0,0.021021,0.021086,0.009606,0.009606
06.05.1997,0,0,0,-0.00299,-0.00291,0.005931,0.005931
07.05.1997,0,0,0,-0.01477,-0.01463,-0.00346,-0.00346
08.05.1997,0,0,0,0.005673,0.005695,0.001412,0.001412
09.05.1997,0,0,0,0.005495,0.005765,0.003872,0.003872
12.05.1997,0,0,0,0.015496,0.015534,0.011667,0.011667
13.05.1997,0,0,0,-0.00542,-0.00524,0.002151,0.002151
14.05.1997,0,0,0,0.003487,0.003631,0.007457,0.007457
15.05.1997,0,0,0,0.006961,0.007269,-0.00124,-0.00124
16.05.1997,0,0,0,-0.01451,-0.01433,0.000964,0.000964
19.05.1997,0,0,0,0.004233,0.004251,0.000275,0.000275
20.05.1997,0,0,0,0.010018,0.010095,-0.01023,-0.01023
21.05.1997,0,0,0,-0.00275,-0.00264,0.014694,0.014694
22.05.1997,0,0,0,-0.00441,-0.00439,-0.00708,-0.00708
23.05.1997,0,0,0,0.013514,0.01353,0.005708,0.005708
26.05.1997,0,0,0,0,0,0.001918,0.001918
27.05.1997,0,0,0,0.003159,0.003168,0.002666,0.002666
28.05.1997,0,0,0,-0.00295,-0.00277,-0.00671,-0.00671
29.05.1997,0,0,0,-0.0037,-0.00355,-0.00234,-0.00234
30.05.1997,0,0,0,0.004963,0.004991,-0.00948,-0.00948
02.06.1997,0,0,0,-0.00227,-0.00225,0.00693,0.00693
03.06.1997,0,0,0,-0.00104,-0.00102,0.002621,0.002621
04.06.1997,0,0,0,-0.00637,-0.00614,0.002408,0.002408
05.06.1997,0,0,0,0.003944,0.004071,0.00596,0.00596
06.06.1997,0,0,0,0.017139,0.017189,0.008841,0.008841
09.06.1997,0,0,0,0.005695,0.00573,0,0
10.06.1997,0,0,0,0.002731,0.002749,0.006411,0.006411
11.06.1997,0,0,0,0.004957,0.005138,6.73E-05,6.73E-05
12.06.1997,0,0,0,0.01587,0.016078,0.011105,0.011105
13.06.1997,0,0,0,0.01102,0.011027,0.008677,0.008677
16.06.1997,0,0,0,0.000705,0.000741,-0.00542,-0.00542
17.06.1997,0,0,0,0.000582,0.000581,-0.00959,-0.00959
18.06.1997,0,0,0,-0.00601,-0.00597,0.001271,0.001271
19.06.1997,0,0,0,0.009994,0.010024,0.005734,0.005734
20.06.1997,0,0,0,0.00079,0.000793,0.00093,0.00093
23.06.1997,0,0,0,-0.0226,-0.02258,-0.00106,-0.00106
24.06.1997,0,0,0,0.019967,0.019967,0.00471,0.00471
25.06.1997,0,0,0,-0.00823,-0.00819,0.011841,0.011841
26.06.1997,0,0,0,-0.00599,-0.00577,0.003656,0.003656
27.06.1997,0,0,0,0.004088,0.004104,-0.00046,-0.00046
30.06.1997,0,0,0,-0.00244,-0.00244,-0.00851,-0.00851
01.07.1997,0,0,0,0.006632,0.00677,0.016497,0.016497
02.07.1997,0,0,0,0.014484,0.014616,0.008757,0.008757
03.07.1997,0,0,0,0.014158,0.014179,0.016656,0.016656
04.07.1997,0,0,0,0,0,0.001764,0.001764
07.07.1997,0,0,0,-0.00516,-0.00515,0.007462,0.007462
08.07.1997,0,0,0,0.007155,0.007373,-0.00263,-0.00263
09.07.1997,0,0,0,-0.01228,-0.01222,0.006679,0.006679
10.07.1997,0,0,0,0.006852,0.006883,-0.00862,-0.00862
11.07.1997,0,0,0,0.003169,0.003308,0.012411,0.012411
14.07.1997,0,0,0,0.001853,0.001853,0.009991,0.009991
15.07.1997,0,0,0,0.008004,0.008005,0.000429,0.000429
16.07.1997,0,0,0,0.011631,0.011698,0.015279,0.015279
17.07.1997,0,0,0,-0.00533,-0.00532,-0.00333,-0.00333
18.07.1997,0,0,0,-0.01766,-0.01765,-0.01336,-0.01336
21.07.1997,0,0,0,-0.00258,-0.00258,-0.01323,-0.01323
22.07.1997,0,0,0,0.022785,0.022785,0.021003,0.021003
23.07.1997,0,0,0,0.002759,0.002783,0.017521,0.017521
24.07.1997,0,0,0,0.003985,0.003993,-0.00691,-0.00691
25.07.1997,0,0,0,-0.00161,-0.00161,0.001085,0.001085
28.07.1997,0,0,0,-0.0025,-0.00249,0.00012,0.00012
29.07.1997,0,0,0,0.006217,0.006283,-0.00677,-0.00677
30.07.1997,0,0,0,0.010557,0.010743,0.012235,0.012235
31.07.1997,0,0,0,0.002098,0.002236,0.000958,0.000958
01.08.1997,0,0,0,-0.00752,-0.00748,-0.0015,-0.0015
04.08.1997,0,0,0,0.003331,0.003347,-0.00794,-0.00794
05.08.1997,0,0,0,0.002176,0.002187,0.005483,0.005483
06.08.1997,0,0,0,0.008313,0.008402,0.010876,0.010876
07.08.1997,0,0,0,-0.00955,-0.00949,0.00811,0.00811
08.08.1997,0,0,0,-0.01873,-0.01873,-0.017,-0.017
11.08.1997,0,0,0,0.003699,0.003966,-0.00102,-0.00102
12.08.1997,0,0,0,-0.01124,-0.01118,0.004552,0.004552
13.08.1997,0,0,0,-0.00488,-0.00466,-0.02242,-0.02242
14.08.1997,0,0,0,0.002978,0.00301,-0.00404,-0.00404
15.08.1997,0,0,0,-0.02625,-0.0262,-0.02077,-0.02077
18.08.1997,0,0,0,0.012883,0.013006,-0.00534,-0.00534
19.08.1997,0,0,0,0.014708,0.014725,0.020324,0.020324
20.08.1997,0,0,0,0.014303,0.014453,0.013303,0.013303
21.08.1997,0,0,0,-0.01534,-0.01532,-0.00617,-0.00617
22.08.1997,0,0,0,-0.00162,-0.00161,-0.02124,-0.02124
25.08.1997,0,0,0,-0.00368,-0.00368,-0.0005,-0.0005
26.08.1997,0,0,0,-0.00779,-0.00777,-0.01394,-0.01394
27.08.1997,0,0,0,0.000745,0.000873,0.002663,0.002663
28.08.1997,0,0,0,-0.01104,-0.01089,-0.01416,-0.01416
29.08.1997,0,0,0,-0.00466,-0.00463,-0.00541,-0.00541
01.09.1997,0,0,0,0,0,0.011175,0.011175
02.09.1997,0,0,0,0.030773,0.030793,0.024228,0.024228
03.09.1997,0,0,0,0.000302,0.000566,0.001246,0.001246
04.09.1997,0,0,0,0.003239,0.003262,-0.00174,-0.00174
05.09.1997,0,0,0,-0.00196,-0.0019,0.004418,0.004418
08.09.1997,0,0,0,0.002312,0.002374,-0.00292,-0.00292
09.09.1997,0,0,0,0.002595,0.002601,-0.00262,-0.00262
10.09.1997,0,0,0,-0.01575,-0.01572,-0.01288,-0.01288
11.09.1997,0,0,0,-0.00703,-0.00672,-0.01697,-0.01697
12.09.1997,0,0,0,0.012328,0.012353,-0.00148,-0.00148
15.09.1997,0,0,0,-0.00449,-0.00428,0.007062,0.007062
16.09.1997,0,0,0,0.027738,0.027738,0.012776,0.012776
17.09.1997,0,0,0,-0.0028,-0.00273,0.01093,0.01093
18.09.1997,0,0,0,0.004539,0.004583,0.009327,0.009327
19.09.1997,0,0,0,0.003393,0.003411,-0.00273,-0.00273
22.09.1997,0,0,0,0.005163,0.005182,0.016557,0.016557
23.09.1997,0,0,0,-0.00367,-0.00367,-0.00012,-0.00012
24.09.1997,0,0,0,-0.00786,-0.00784,0.001891,0.001891
25.09.1997,0,0,0,-0.00698,-0.00698,-0.00152,-0.00152
26.09.1997,0,0,0,0.007764,0.008083,0.007963,0.007963
29.09.1997,0,0,0,0.008554,0.008574,-0.00012,-0.00012
30.09.1997,0,0,0,-0.00638,-0.00638,0.0073,0.0073
01.10.1997,0,0,0,0.008546,0.008634,0.013612,0.013612
02.10.1997,0,0,0,0.005272,0.005319,-0.00059,-0.00059
03.10.1997,0,0,0,0.004747,0.004765,0.006329,0.006329
06.10.1997,0,0,0,0.007906,0.007907,-0.00277,-0.00277
07.10.1997,0,0,0,0.010666,0.010716,-0.00041,-0.00041
08.10.1997,0,0,0,-0.00948,-0.00921,-0.00653,-0.00653
09.10.1997,0,0,0,-0.00331,-0.00328,-0.02148,-0.02148
10.10.1997,0,0,0,-0.00376,-0.0037,-0.00073,-0.00073
13.10.1997,0,0,0,0.001158,0.001158,0.015703,0.015703
14.10.1997,0,0,0,0.002249,0.00225,0.001258,0.001258
15.10.1997,0,0,0,-0.00471,-0.00469,-0.00757,-0.00757
16.10.1997,0,0,0,-0.01092,-0.0109,-0.00139,-0.00139
17.10.1997,0,0,0,-0.01166,-0.01166,-0.00666,-0.00666
20.10.1997,0,0,0,0.012054,0.012065,-0.00195,-0.00195
21.10.1997,0,0,0,0.017294,0.017297,0.013972,0.013972
22.10.1997,0,0,0,-0.00391,-0.00384,-0.00766,-0.00766
23.10.1997,0,0,0,-0.01855,-0.01854,-0.03411,-0.03411
24.10.1997,0,0,0,-0.00957,-0.00957,0.003626,0.003626
27.10.1997,0,0,0,-0.07113,-0.07113,-0.02701,-0.02701
28.10.1997,0,0,0,0.049887,0.049887,-0.04927,-0.04927
29.10.1997,0,0,0,-0.00292,-0.00272,0.043166,0.043166
30.10.1997,0,0,0,-0.01698,-0.01681,-0.01967,-0.01967
31.10.1997,0,0,0,0.012033,0.012044,0.012486,0.012486
03.11.1997,0,0,0,0.026296,0.026329,0.018601,0.018601
04.11.1997,0,0,0,0.001883,0.001894,-0.00672,-0.00672
05.11.1997,0,0,0,0.002124,0.002269,0.00378,0.00378
06.11.1997,0,0,0,-0.00503,-0.00495,-0.00564,-0.00564
07.11.1997,0,0,0,-0.01128,-0.01105,-0.0256,-0.0256
10.11.1997,0,0,0,-0.0069,-0.00681,0.009065,0.009065
11.11.1997,0,0,0,0.002873,0.002873,-0.00118,-0.00118
12.11.1997,0,0,0,-0.01948,-0.01925,-0.01166,-0.01166
13.11.1997,0,0,0,0.011741,0.011815,0.000861,0.000861
14.11.1997,0,0,0,0.012672,0.012731,0.003897,0.003897
17.11.1997,0,0,0,0.019045,0.019078,0.023518,0.023518
18.11.1997,0,0,0,-0.00846,-0.00834,0.000772,0.000772
19.11.1997,0,0,0,0.006756,0.006908,-0.00122,-0.00122
20.11.1997,0,0,0,0.015119,0.015129,0.016926,0.016926
21.11.1997,0,0,0,0.004277,0.00429,0.0134,0.0134
24.11.1997,0,0,0,-0.0172,-0.01717,-0.01944,-0.01944
25.11.1997,0,0,0,0.004374,0.004483,-0.00249,-0.00249
26.11.1997,0,0,0,0.000862,0.001067,0.011937,0.011937
27.11.1997,0,0,0,0,0,0.002648,0.002648
28.11.1997,0,0,0,0.003943,0.003969,-0.00013,-0.00013
01.12.1997,0,0,0,0.020082,0.020101,0.021489,0.021489
02.12.1997,0,0,0,-0.00319,-0.00316,0.005776,0.005776
03.12.1997,0,0,0,0.005225,0.005471,-0.00338,-0.00338
04.12.1997,0,0,0,-0.00376,-0.00373,0.011187,0.011187
05.12.1997,0,0,0,0.010926,0.010933,0.004488,0.004488
08.12.1997,0,0,0,-0.00144,-0.00137,0.008077,0.008077
09.12.1997,0,0,0,-0.00673,-0.00673,0.001919,0.001919
10.12.1997,0,0,0,-0.00616,-0.00609,-0.01206,-0.01206
11.12.1997,0,0,0,-0.01543,-0.01516,-0.02257,-0.02257
12.12.1997,0,0,0,-0.00162,-0.00162,0.006245,0.006245
15.12.1997,0,0,0,0.010434,0.01045,0.002463,0.002463
16.12.1997,0,0,0,0.004815,0.004815,0.018822,0.018822
17.12.1997,0,0,0,-0.00259,-0.00252,0.003734,0.003734
18.12.1997,0,0,0,-0.01066,-0.01063,-0.00271,-0.00271
19.12.1997,0,0,0,-0.00896,-0.00895,-0.02323,-0.02323
22.12.1997,0,0,0,0.007282,0.007302,0.006028,0.006028
23.12.1997,0,0,0,-0.0154,-0.01538,0.001348,0.001348
24.12.1997,0,0,0,-0.00687,-0.00684,-0.00178,-0.00178
25.12.1997,0,0,0,0,0,0,0
26.12.1997,0,0,0,0.004023,0.00403,0.001288,0.001288
29.12.1997,0,0,0,0.017875,0.018214,0.021759,0.021759
30.12.1997,0,0,0,0.01818,0.01827,0.004725,0.004725
31.12.1997,0,0,0,-0.00042,-0.0004,0.002682,0.002682
01.01.1998,0,0,0,0,0,0,0
02.01.1998,0,0,0,0.004739,0.004776,0.013184,0.013184
05.01.1998,0,0,0,0.00208,0.002098,0.016485,0.016485
06.01.1998,0,0,0,-0.01079,-0.01075,-0.0051,-0.0051
07.01.1998,0,0,0,-0.00267,-0.00243,-0.00378,-0.00378
08.01.1998,0,0,0,-0.00828,-0.00823,-0.00767,-0.00767
09.01.1998,0,0,0,-0.03011,-0.03011,-0.01211,-0.01211
12.01.1998,0,0,0,0.012341,0.012341,-0.02212,-0.02212
13.01.1998,0,0,0,0.013652,0.0137,0.013823,0.013823
14.01.1998,0,0,0,0.006094,0.006125,0.005321,0.005321
15.01.1998,0,0,0,-0.00756,-0.00752,0.004818,0.004818
16.01.1998,0,0,0,0.011275,0.011275,0.014201,0.014201
19.01.1998,0,0,0,0,0,0.009607,0.009607
20.01.1998,0,0,0,0.017618,0.017629,0.002431,0.002431
21.01.1998,0,0,0,-0.00799,-0.00793,-0.00231,-0.00231
22.01.1998,0,0,0,-0.00804,-0.00803,-0.00447,-0.00447
23.01.1998,0,0,0,-0.00568,-0.00566,-0.00414,-0.00414
26.01.1998,0,0,0,-0.00067,-0.00067,0.004432,0.004432
27.01.1998,0,0,0,0.012534,0.012534,0.008228,0.008228
28.01.1998,0,0,0,0.008672,0.008867,0.015745,0.015745
29.01.1998,0,0,0,0.008182,0.008245,0.008597,0.008597
30.01.1998,0,0,0,-0.0053,-0.0053,0.004888,0.004888
02.02.1998,0,0,0,0.021186,0.021193,0.014853,0.014853
